(2, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 23)
(1, 2, 4, 5, 6, 7, 9, 10, 15, 16, 18, 19, 20, 21, 23, 24)
(1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 20, 21, 22, 23, 24)
(2, 3, 4, 5, 7, 8, 9, 11, 14, 16, 17, 18, 20, 21, 22, 23)
(2, 3, 4, 5, 7, 9, 11, 12, 13, 14, 16, 18, 20, 21, 22, 23)
(1, 2, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 20, 23, 24)
(1, 2, 3, 5, 7, 8, 11, 12, 13, 14, 17, 18, 20, 22, 23, 24)
(3, 4, 5, 6, 8, 9, 10, 12, 13, 15, 16, 17, 19, 20, 21, 22)
(1, 2, 3, 6, 9, 10, 11, 12, 13, 14, 15, 16, 19, 22, 23, 24)
(1, 2, 5, 6, 8, 9, 11, 12, 13, 14, 16, 17, 19, 20, 23, 24)
(2, 3, 4, 5, 7, 8, 10, 11, 14, 15, 17, 18, 20, 21, 22, 23)
(1, 2, 3, 5, 8, 9, 10, 12, 13, 15, 16, 17, 20, 22, 23, 24)
(1, 2, 3, 6, 7, 9, 10, 12, 13, 15, 16, 18, 19, 22, 23, 24)
(1, 3, 4, 5, 7, 9, 11, 12, 13, 14, 16, 18, 20, 21, 22, 24)
(1, 3, 4, 5, 6, 8, 9, 11, 14, 16, 17, 19, 20, 21, 22, 24)
(1, 2, 3, 4, 5, 6, 7, 12, 13, 18, 19, 20, 21, 22, 23, 24)
(2, 3, 4, 5, 6, 8, 9, 10, 15, 16, 17, 19, 20, 21, 22, 23)
(2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 21, 22, 23)
(1, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 24)
(1, 2, 3, 5, 7, 8, 9, 11, 14, 16, 17, 18, 20, 22, 23, 24)
(3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22)
(1, 3, 4, 5, 8, 9, 10, 12, 13, 15, 16, 17, 20, 21, 22, 24)
(2, 3, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 22, 23)
(1, 2, 3, 4, 7, 8, 10, 12, 13, 15, 17, 18, 21, 22, 23, 24)
(2, 3, 5, 6, 7, 8, 10, 12, 13, 15, 17, 18, 19, 20, 22, 23)
(1, 2, 3, 4, 7, 9, 10, 11, 14, 15, 16, 18, 21, 22, 23, 24)
(1, 2, 4, 5, 7, 9, 11, 12, 13, 14, 16, 18, 20, 21, 23, 24)
(1, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 24)
(1, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 21, 24)
(2, 4, 5, 6, 7, 8, 10, 11, 14, 15, 17, 18, 19, 20, 21, 23)
(1, 2, 4, 5, 8, 10, 11, 12, 13, 14, 15, 17, 20, 21, 23, 24)
(2, 3, 4, 5, 6, 8, 9, 11, 14, 16, 17, 19, 20, 21, 22, 23)
(2, 3, 5, 6, 7, 9, 10, 12, 13, 15, 16, 18, 19, 20, 22, 23)
(1, 2, 3, 4, 5, 6, 7, 9, 16, 18, 19, 20, 21, 22, 23, 24)
(2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 23)
(1, 2, 3, 4, 6, 7, 9, 10, 15, 16, 18, 19, 21, 22, 23, 24)
(1, 2, 3, 4, 6, 7, 9, 12, 13, 16, 18, 19, 21, 22, 23, 24)
(3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22)
(1, 2, 3, 4, 6, 7, 10, 12, 13, 15, 18, 19, 21, 22, 23, 24)
(1, 2, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 23, 24)
(2, 3, 4, 5, 6, 7, 9, 12, 13, 16, 18, 19, 20, 21, 22, 23)
(1, 4, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 24)
(1, 2, 5, 6, 7, 8, 9, 12, 13, 16, 17, 18, 19, 20, 23, 24)
(2, 3, 5, 6, 7, 8, 10, 11, 14, 15, 17, 18, 19, 20, 22, 23)
(2, 3, 5, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 20, 22, 23)
(1, 2, 3, 4, 7, 8, 9, 10, 15, 16, 17, 18, 21, 22, 23, 24)
(3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22)
(1, 3, 5, 6, 7, 8, 9, 12, 13, 16, 17, 18, 19, 20, 22, 24)
(2, 3, 4, 5, 7, 8, 9, 12, 13, 16, 17, 18, 20, 21, 22, 23)
(2, 4, 5, 6, 7, 8, 9, 11, 14, 16, 17, 18, 19, 20, 21, 23)
(2, 3, 4, 5, 6, 8, 10, 12, 13, 15, 17, 19, 20, 21, 22, 23)
(2, 3, 4, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 21, 22, 23)
(1, 2, 3, 4, 7, 8, 10, 11, 14, 15, 17, 18, 21, 22, 23, 24)
(1, 4, 5, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 20, 21, 24)
(1, 3, 5, 6, 8, 9, 11, 12, 13, 14, 16, 17, 19, 20, 22, 24)
(1, 2, 3, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 22, 23, 24)
(1, 3, 4, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19, 21, 22, 24)
(1, 3, 4, 6, 7, 8, 9, 12, 13, 16, 17, 18, 19, 21, 22, 24)
(1, 3, 4, 5, 6, 8, 10, 12, 13, 15, 17, 19, 20, 21, 22, 24)
(2, 3, 4, 6, 7, 9, 10, 11, 14, 15, 16, 18, 19, 21, 22, 23)
(1, 2, 3, 5, 7, 8, 10, 11, 14, 15, 17, 18, 20, 22, 23, 24)
(1, 2, 4, 6, 8, 9, 10, 11, 14, 15, 16, 17, 19, 21, 23, 24)
(2, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 21, 22, 23)
(1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 17, 18, 20, 21, 22, 24)
(1, 3, 4, 6, 7, 8, 9, 11, 14, 16, 17, 18, 19, 21, 22, 24)
(1, 2, 3, 4, 5, 7, 10, 11, 14, 15, 18, 20, 21, 22, 23, 24)
(1, 2, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19, 20, 23, 24)
(2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 17, 20, 21, 22, 23)
(3, 4, 5, 6, 7, 8, 10, 11, 14, 15, 17, 18, 19, 20, 21, 22)
(1, 2, 3, 5, 6, 7, 8, 10, 15, 17, 18, 19, 20, 22, 23, 24)
(1, 3, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16, 19, 21, 22, 24)
(1, 2, 3, 4, 7, 9, 10, 12, 13, 15, 16, 18, 21, 22, 23, 24)
(1, 3, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 22, 24)
(1, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 24)
(1, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 24)
(1, 2, 3, 5, 6, 8, 10, 11, 14, 15, 17, 19, 20, 22, 23, 24)
(1, 2, 4, 5, 6, 8, 9, 11, 14, 16, 17, 19, 20, 21, 23, 24)
(2, 3, 4, 6, 8, 10, 11, 12, 13, 14, 15, 17, 19, 21, 22, 23)
(1, 3, 4, 5, 8, 9, 10, 11, 14, 15, 16, 17, 20, 21, 22, 24)
(2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 23)
(1, 2, 3, 5, 8, 9, 11, 12, 13, 14, 16, 17, 20, 22, 23, 24)
(1, 2, 3, 4, 5, 8, 9, 10, 15, 16, 17, 20, 21, 22, 23, 24)
(1, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 24)
(3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 22)
(1, 2, 3, 6, 7, 10, 11, 12, 13, 14, 15, 18, 19, 22, 23, 24)
(1, 2, 3, 5, 7, 9, 10, 12, 13, 15, 16, 18, 20, 22, 23, 24)
(2, 3, 4, 5, 6, 8, 9, 12, 13, 16, 17, 19, 20, 21, 22, 23)
(1, 2, 3, 4, 6, 9, 10, 12, 13, 15, 16, 19, 21, 22, 23, 24)
(1, 2, 4, 6, 7, 8, 9, 11, 14, 16, 17, 18, 19, 21, 23, 24)
(2, 4, 5, 6, 7, 9, 10, 11, 14, 15, 16, 18, 19, 20, 21, 23)
(4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21)
(1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 24)
(1, 2, 4, 6, 7, 8, 9, 12, 13, 16, 17, 18, 19, 21, 23, 24)
(1, 2, 3, 4, 6, 7, 10, 11, 14, 15, 18, 19, 21, 22, 23, 24)
(2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 23)
(2, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23)
(3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22)
(1, 2, 3, 4, 5, 7, 8, 10, 15, 17, 18, 20, 21, 22, 23, 24)
(1, 2, 3, 4, 6, 9, 10, 11, 14, 15, 16, 19, 21, 22, 23, 24)
(1, 3, 4, 5, 6, 7, 9, 11, 14, 16, 18, 19, 20, 21, 22, 24)
(1, 2, 5, 6, 7, 8, 9, 11, 14, 16, 17, 18, 19, 20, 23, 24)
(1, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 20, 21, 22, 24)
(3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22)
(2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 23)
(3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22)
(1, 3, 4, 6, 7, 8, 10, 12, 13, 15, 17, 18, 19, 21, 22, 24)
(3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22)
(2, 3, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 22, 23)
(1, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 22, 24)
(1, 2, 3, 4, 6, 8, 9, 12, 13, 16, 17, 19, 21, 22, 23, 24)
(1, 2, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 23, 24)
(1, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24)
(2, 4, 5, 6, 7, 9, 10, 12, 13, 15, 16, 18, 19, 20, 21, 23)
(3, 4, 5, 6, 7, 9, 10, 12, 13, 15, 16, 18, 19, 20, 21, 22)
(2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 18, 20, 21, 22, 23)
(2, 3, 4, 6, 8, 9, 11, 12, 13, 14, 16, 17, 19, 21, 22, 23)
(1, 2, 4, 5, 6, 8, 11, 12, 13, 14, 17, 19, 20, 21, 23, 24)
(2, 3, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23)
(1, 2, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 23, 24)
(3, 4, 5, 6, 7, 9, 10, 11, 14, 15, 16, 18, 19, 20, 21, 22)
(1, 2, 3, 4, 5, 7, 11, 12, 13, 14, 18, 20, 21, 22, 23, 24)
(4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21)
(1, 2, 3, 5, 7, 9, 11, 12, 13, 14, 16, 18, 20, 22, 23, 24)
(1, 2, 4, 5, 6, 7, 8, 12, 13, 17, 18, 19, 20, 21, 23, 24)
(2, 3, 4, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 21, 22, 23)
(1, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 24)
(2, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 18, 19, 21, 22, 23)
(2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23)
(1, 3, 4, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 21, 22, 24)
(1, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 18, 19, 21, 22, 24)
(1, 2, 3, 4, 5, 9, 10, 12, 13, 15, 16, 20, 21, 22, 23, 24)
(1, 3, 4, 5, 6, 8, 9, 12, 13, 16, 17, 19, 20, 21, 22, 24)
(2, 3, 4, 5, 6, 7, 10, 11, 14, 15, 18, 19, 20, 21, 22, 23)
(5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)
(2, 3, 4, 5, 7, 8, 10, 12, 13, 15, 17, 18, 20, 21, 22, 23)
(1, 2, 4, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 21, 23, 24)
(1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 17, 18, 21, 22, 23, 24)
(1, 3, 4, 5, 7, 9, 10, 11, 14, 15, 16, 18, 20, 21, 22, 24)
(2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 23)
(2, 4, 5, 6, 7, 8, 9, 12, 13, 16, 17, 18, 19, 20, 21, 23)
(1, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 24)
(4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21)
(1, 2, 3, 4, 6, 8, 10, 12, 13, 15, 17, 19, 21, 22, 23, 24)
(1, 3, 4, 5, 6, 7, 8, 11, 14, 17, 18, 19, 20, 21, 22, 24)
(1, 3, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19, 20, 22, 24)
(1, 3, 4, 6, 8, 9, 10, 12, 13, 15, 16, 17, 19, 21, 22, 24)
(1, 3, 5, 6, 7, 9, 10, 11, 14, 15, 16, 18, 19, 20, 22, 24)
(1, 3, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 20, 22, 24)
(1, 2, 3, 4, 6, 7, 8, 10, 15, 17, 18, 19, 21, 22, 23, 24)
(1, 2, 3, 4, 6, 8, 9, 11, 14, 16, 17, 19, 21, 22, 23, 24)
(1, 3, 5, 6, 7, 9, 10, 12, 13, 15, 16, 18, 19, 20, 22, 24)
(1, 2, 3, 5, 6, 8, 9, 11, 14, 16, 17, 19, 20, 22, 23, 24)
(1, 2, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 23, 24)
(1, 3, 4, 6, 8, 9, 11, 12, 13, 14, 16, 17, 19, 21, 22, 24)
(2, 3, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 22, 23)
(2, 3, 4, 5, 8, 9, 11, 12, 13, 14, 16, 17, 20, 21, 22, 23)
(1, 2, 4, 6, 7, 8, 10, 12, 13, 15, 17, 18, 19, 21, 23, 24)
(1, 2, 4, 5, 6, 8, 9, 10, 15, 16, 17, 19, 20, 21, 23, 24)
(1, 2, 3, 4, 8, 9, 10, 11, 14, 15, 16, 17, 21, 22, 23, 24)
(1, 2, 3, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 22, 23, 24)
(1, 2, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 23, 24)
(1, 2, 3, 4, 5, 6, 8, 10, 15, 17, 19, 20, 21, 22, 23, 24)
(1, 2, 3, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 22, 23, 24)
(2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 20, 21, 22, 23)
(1, 3, 4, 5, 6, 7, 10, 12, 13, 15, 18, 19, 20, 21, 22, 24)
(1, 2, 4, 5, 6, 9, 10, 11, 14, 15, 16, 19, 20, 21, 23, 24)
(1, 4, 5, 6, 8, 9, 10, 11, 14, 15, 16, 17, 19, 20, 21, 24)
(4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21)
}

Print some_are_pairs (contains 24 tuples): {
(1, 2, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 20, 21, 22, 24)
(1, 2, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23)
(1, 2, 5, 6, 7, 9, 11, 12, 14, 15, 16, 17, 19, 20, 22, 24)
(1, 2, 4, 6, 7, 9, 11, 12, 14, 15, 16, 17, 19, 21, 22, 24)
(1, 2, 4, 5, 6, 7, 11, 12, 14, 15, 17, 19, 20, 21, 22, 24)
(2, 3, 4, 5, 7, 8, 9, 10, 14, 15, 17, 18, 19, 22, 23, 24)
(1, 3, 4, 6, 8, 9, 10, 11, 13, 14, 16, 18, 19, 21, 23, 24)
(1, 3, 5, 6, 8, 9, 10, 11, 13, 14, 16, 18, 19, 20, 23, 24)
(2, 3, 4, 5, 7, 9, 10, 12, 13, 14, 15, 18, 19, 22, 23, 24)
(3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 16, 18, 19, 20, 21, 23)
(1, 3, 4, 5, 6, 8, 9, 10, 13, 16, 18, 19, 20, 21, 23, 24)
(1, 2, 3, 6, 7, 10, 11, 12, 13, 15, 16, 18, 20, 21, 22, 23)
(2, 4, 5, 6, 7, 9, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22)
(2, 3, 4, 5, 8, 9, 10, 12, 13, 14, 15, 17, 19, 22, 23, 24)
(1, 2, 4, 5, 6, 7, 9, 12, 15, 16, 17, 19, 20, 21, 22, 24)
(1, 3, 4, 5, 6, 8, 10, 11, 13, 14, 18, 19, 20, 21, 23, 24)
(2, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 23, 24)
(1, 2, 3, 6, 7, 8, 10, 11, 15, 16, 17, 18, 20, 21, 22, 23)
(3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 22, 24)
(1, 3, 4, 5, 8, 9, 10, 11, 13, 14, 16, 18, 20, 21, 23, 24)
(1, 3, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22)
(1, 2, 3, 6, 8, 10, 11, 12, 13, 15, 16, 17, 20, 21, 22, 23)
(1, 2, 3, 6, 7, 8, 11, 12, 13, 16, 17, 18, 20, 21, 22, 23)
(2, 3, 4, 5, 7, 8, 9, 12, 13, 14, 17, 18, 19, 22, 23, 24)
}

Print none_are_pairs (contains 0 tuples): {
}

Print indecomposable (contains 0 tuples): {
}

Print decomposable but no pairs (contains 0 tuples): {
}

Print exceptional cycles (contains 24 tuples): {
(1, 2, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 20, 21, 22, 24)
(1, 2, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23)
(1, 2, 5, 6, 7, 9, 11, 12, 14, 15, 16, 17, 19, 20, 22, 24)
(1, 2, 4, 6, 7, 9, 11, 12, 14, 15, 16, 17, 19, 21, 22, 24)
(1, 2, 4, 5, 6, 7, 11, 12, 14, 15, 17, 19, 20, 21, 22, 24)
(2, 3, 4, 5, 7, 8, 9, 10, 14, 15, 17, 18, 19, 22, 23, 24)
(1, 3, 4, 6, 8, 9, 10, 11, 13, 14, 16, 18, 19, 21, 23, 24)
(1, 3, 5, 6, 8, 9, 10, 11, 13, 14, 16, 18, 19, 20, 23, 24)
(2, 3, 4, 5, 7, 9, 10, 12, 13, 14, 15, 18, 19, 22, 23, 24)
(3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 16, 18, 19, 20, 21, 23)
(1, 3, 4, 5, 6, 8, 9, 10, 13, 16, 18, 19, 20, 21, 23, 24)
(1, 2, 3, 6, 7, 10, 11, 12, 13, 15, 16, 18, 20, 21, 22, 23)
(2, 4, 5, 6, 7, 9, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22)
(2, 3, 4, 5, 8, 9, 10, 12, 13, 14, 15, 17, 19, 22, 23, 24)
(1, 2, 4, 5, 6, 7, 9, 12, 15, 16, 17, 19, 20, 21, 22, 24)
(1, 3, 4, 5, 6, 8, 10, 11, 13, 14, 18, 19, 20, 21, 23, 24)
(2, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 23, 24)
(1, 2, 3, 6, 7, 8, 10, 11, 15, 16, 17, 18, 20, 21, 22, 23)
(3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 22, 24)
(1, 3, 4, 5, 8, 9, 10, 11, 13, 14, 16, 18, 20, 21, 23, 24)
(1, 3, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22)
(1, 2, 3, 6, 8, 10, 11, 12, 13, 15, 16, 17, 20, 21, 22, 23)
(1, 2, 3, 6, 7, 8, 11, 12, 13, 16, 17, 18, 20, 21, 22, 23)
(2, 3, 4, 5, 7, 8, 9, 12, 13, 14, 17, 18, 19, 22, 23, 24)
}

method validate_set_V(25, 8) ran to completion.
